complaint_id,department,district,service_type,complaint_category,complaint_date,resolution_date,resolution_time_days,status,satisfaction_score,priority
C000001,Inland Revenue Department,Matara,Marriage Certificate,Delayed Processing,2025-07-06,,76,Pending,3,Medium
C000002,Department of Motor Traffic,Kalutara,Passport Application,Bribery Demand,2025-04-01,,172,Pending,2,Medium
C000003,Department of Health Services,Matara,Land Registration,Poor Facility Condition,2023-10-18,2024-04-02,167,Resolved,4,Low
C000004,Department of Census and Statistics,Hambantota,Marriage Certificate,Bribery Demand,2023-09-27,2023-11-07,41,Resolved,4,High
C000005,Department of Census and Statistics,Mannar,School Admission,Incorrect Information,2024-08-30,,386,Pending,1,Medium
C000006,Department of Pensions,Polonnaruwa,School Admission,System Downtime,2025-01-03,2025-04-10,97,Resolved,1,Medium
C000007,Department of Pensions,Kalutara,Passport Application,Delayed Processing,2025-09-11,,9,Pending,2,Low
C000008,Department of Census and Statistics,Galle,Medical Certificate,Incorrect Information,2024-12-28,2025-04-01,94,Resolved,2,Medium
C000009,Provincial Council Secretariat,Ratnapura,Passport Application,Rude Staff Behavior,2025-08-20,2026-01-23,156,Resolved,4,Low
C000010,Inland Revenue Department,Badulla,Tax Filing,Long Queue,2024-06-23,2024-12-04,164,Resolved,4,Low
C000011,Inland Revenue Department,Puttalam,Police Report,System Downtime,2023-10-23,2024-02-03,103,Resolved,3,Low
C000012,Department of Pensions,Matale,Passport Application,Protocol Violation,2025-02-13,2025-07-28,165,Resolved,3,Medium
C000013,Inland Revenue Department,Matale,Business Registration,Overcharging,2025-05-11,2025-10-08,150,Resolved,3,Low
C000014,Municipal Council,Mullaitivu,School Admission,Delayed Processing,2023-11-08,2023-12-18,40,Resolved,4,Low
C000015,Provincial Council Secretariat,Colombo,Medical Certificate,Delayed Processing,2025-05-23,2025-10-06,136,Resolved,3,Medium
C000016,Department of Pensions,Mullaitivu,Marriage Certificate,Overcharging,2025-03-23,2025-09-04,165,Resolved,3,Low
C000017,Registrar General Department,Polonnaruwa,Visa Processing,Protocol Violation,2024-06-16,2024-08-01,46,Resolved,4,Medium
C000018,Provincial Council Secretariat,Colombo,School Admission,System Downtime,2024-02-24,2024-04-06,42,Resolved,4,Low
C000019,Inland Revenue Department,Puttalam,Birth Certificate,Delayed Processing,2024-01-13,2024-04-01,79,Resolved,2,Medium
C000020,Department of Immigration,Badulla,Land Registration,Protocol Violation,2023-11-30,2024-04-15,137,Resolved,4,Low
C000021,Provincial Council Secretariat,Kegalle,Police Report,Bribery Demand,2025-03-14,2025-07-01,109,Resolved,5,Medium
C000022,Provincial Council Secretariat,Batticaloa,Birth Certificate,Bribery Demand,2024-11-02,2025-04-18,167,Resolved,3,Low
C000023,Divisional Secretariat,Matara,License Renewal,Delayed Processing,2024-09-01,,384,Pending,2,Medium
C000024,Registrar General Department,Trincomalee,Passport Application,Incorrect Information,2023-11-20,2023-11-29,9,Resolved,5,Medium
C000025,Inland Revenue Department,Ampara,Pension Claims,Bribery Demand,2024-04-27,2024-09-21,147,Resolved,4,Low
C000026,Pradeshiya Sabha,Gampaha,Medical Certificate,Delayed Processing,2025-07-26,2025-11-12,109,Resolved,3,Low
C000027,Inland Revenue Department,Kurunegala,Land Registration,Rude Staff Behavior,2024-09-02,2024-09-30,28,Resolved,2,Low
C000028,Provincial Council Secretariat,Kandy,License Renewal,Protocol Violation,2024-07-02,2024-07-22,20,Resolved,3,Medium
C000029,Department of Education,Ampara,Passport Application,Missing Documents,2023-12-25,2024-02-24,61,Resolved,2,High
C000030,Department of Education,Jaffna,Pension Claims,Protocol Violation,2024-03-07,2024-06-15,100,Resolved,3,Medium
