post_id,department,district,post_date,sentiment_label,sentiment_score,sample_text,platform
P000001,Department of Census and Statistics,Anuradhapura,2024-11-30,Neutral,0.437,Experience with Registrar General Department was average,Instagram
P000002,Registrar General Department,Kandy,2024-09-24,Negative,0.425,Divisional Secretariat service is slow,Facebook
P000003,Department of Census and Statistics,Polonnaruwa,2024-10-31,Neutral,-0.897,Experience with Department of Immigration was average,Instagram
P000004,Divisional Secretariat,Mullaitivu,2025-01-13,Negative,-0.725,Inland Revenue Department service is waste of time,Instagram
P000005,Department of Pensions,Kegalle,2025-03-23,Positive,0.92,Service at Divisional Secretariat was efficient,Instagram
P000006,Registrar General Department,Monaragala,2024-12-02,Neutral,-0.043,Experience with Municipal Council was standard,Instagram
P000007,Provincial Council Secretariat,Monaragala,2025-08-28,Negative,0.29,Department of Immigration service is terrible,Twitter
P000008,Provincial Council Secretariat,Mullaitivu,2025-06-20,Neutral,0.336,Experience with Registrar General Department was normal,Instagram
P000009,Department of Census and Statistics,Ampara,2025-08-07,Positive,-0.353,Service at Department of Immigration was helpful,Facebook
P000010,Pradeshiya Sabha,Vavuniya,2024-12-04,Positive,-0.109,Service at Divisional Secretariat was excellent,Instagram
P000011,Provincial Council Secretariat,Colombo,2024-10-15,Negative,-0.997,Municipal Council service is terrible,Facebook
P000012,Department of Education,Nuwara Eliya,2024-09-29,Negative,-0.454,Department of Census and Statistics service is frustrated,Instagram
P000013,Pradeshiya Sabha,Monaragala,2025-04-22,Positive,0.178,Service at Municipal Council was good service,Facebook
P000014,Divisional Secretariat,Jaffna,2025-07-16,Negative,0.632,Pradeshiya Sabha service is unprofessional,Twitter
P000015,Registrar General Department,Puttalam,2025-01-29,Neutral,-0.071,Experience with Department of Census and Statistics was okay,Instagram
P000016,Department of Pensions,Galle,2025-05-31,Negative,0.518,Department of Immigration service is unprofessional,Twitter
P000017,Municipal Council,Batticaloa,2025-03-12,Negative,0.36,Department of Health Services service is waste of time,Facebook
P000018,Department of Health Services,Kegalle,2025-07-15,Negative,-0.33,Department of Pensions service is unprofessional,Facebook
P000019,Department of Motor Traffic,Jaffna,2025-08-15,Negative,0.418,Inland Revenue Department service is unprofessional,Instagram
P000020,Department of Education,Ampara,2025-09-19,Negative,-0.85,Registrar General Department service is corrupt,Instagram
P000021,Registrar General Department,Badulla,2025-02-20,Negative,0.983,Provincial Council Secretariat service is terrible,Instagram
P000022,Pradeshiya Sabha,Mullaitivu,2025-03-02,Positive,0.208,Service at Department of Pensions was efficient,Facebook
P000023,Pradeshiya Sabha,Kalutara,2025-07-04,Neutral,-0.081,Experience with Department of Pensions was standard,Twitter
P000024,Department of Health Services,Trincomalee,2025-03-04,Negative,0.313,Inland Revenue Department service is corrupt,Twitter
P000025,Department of Immigration,Mannar,2025-05-31,Neutral,0.514,Experience with Pradeshiya Sabha was okay,Facebook
P000026,Department of Census and Statistics,Kilinochhi,2025-07-08,Neutral,0.064,Experience with Divisional Secretariat was normal,Instagram
P000027,Department of Census and Statistics,Ratnapura,2025-06-06,Neutral,-0.979,Experience with Department of Health Services was standard,Instagram
P000028,Department of Education,Nuwara Eliya,2024-10-16,Neutral,0.045,Experience with Pradeshiya Sabha was okay,Twitter
P000029,Department of Pensions,Ratnapura,2025-03-06,Negative,-0.17,Department of Pensions service is waste of time,Instagram
P000030,Department of Health Services,Kalutara,2024-10-06,Neutral,-0.479,Experience with Registrar General Department was average,Instagram
P000031,Department of Health Services,Badulla,2024-10-18,Negative,0.864,Divisional Secretariat service is slow,Twitter
P000032,Department of Census and Statistics,Vavuniya,2025-02-06,Neutral,0.396,Experience with Department of Health Services was average,Facebook
P000033,Registrar General Department,Polonnaruwa,2025-04-09,Negative,0.21,Department of Motor Traffic service is frustrated,Facebook
P000034,Department of Motor Traffic,Polonnaruwa,2025-09-11,Negative,-0.212,Department of Health Services service is slow,Facebook
P000035,Municipal Council,Kalutara,2025-03-20,Positive,-0.222,Service at Registrar General Department was excellent,Twitter
P000036,Municipal Council,Gampaha,2024-09-20,Negative,0.742,Department of Education service is unprofessional,Instagram
P000037,Department of Census and Statistics,Kegalle,2024-10-20,Positive,0.727,Service at Inland Revenue Department was good service,Twitter
P000038,Municipal Council,Polonnaruwa,2024-10-31,Neutral,-0.507,Experience with Pradeshiya Sabha was standard,Facebook
P000039,Department of Immigration,Kegalle,2024-11-02,Negative,0.604,Department of Immigration service is waste of time,Facebook
P000040,Department of Education,Ampara,2025-02-06,Negative,0.394,Provincial Council Secretariat service is waste of time,Facebook
P000041,Pradeshiya Sabha,Kegalle,2024-11-24,Negative,-0.926,Provincial Council Secretariat service is frustrated,Twitter
P000042,Department of Health Services,Anuradhapura,2024-11-14,Neutral,0.531,Experience with Pradeshiya Sabha was typical,Twitter
P000043,Department of Education,Colombo,2025-06-18,Negative,-0.901,Pradeshiya Sabha service is frustrated,Twitter
P000044,Inland Revenue Department,Matale,2025-07-28,Negative,-0.218,Inland Revenue Department service is unprofessional,Instagram
P000045,Department of Immigration,Kalutara,2025-09-09,Positive,-0.501,Service at Department of Pensions was efficient,Instagram
P000046,Department of Education,Ampara,2025-03-19,Neutral,-0.833,Experience with Department of Pensions was okay,Twitter
P000047,Department of Immigration,Monaragala,2025-05-06,Neutral,0.251,Experience with Registrar General Department was typical,Facebook
P000048,Registrar General Department,Ampara,2025-02-20,Positive,-0.129,Service at Divisional Secretariat was helpful,Facebook
P000049,Inland Revenue Department,Monaragala,2025-07-02,Negative,-0.263,Divisional Secretariat service is slow,Twitter
P000050,Municipal Council,Colombo,2025-01-11,Negative,0.739,Department of Census and Statistics service is frustrated,Facebook
P000051,Provincial Council Secretariat,Kegalle,2025-07-06,Positive,0.74,Service at Municipal Council was fast,Twitter
P000052,Department of Immigration,Kurunegala,2025-03-21,Negative,0.708,Inland Revenue Department service is slow,Instagram
P000053,Department of Census and Statistics,Anuradhapura,2025-06-12,Negative,0.298,Registrar General Department service is corrupt,Facebook
P000054,Municipal Council,Jaffna,2024-12-24,Negative,0.701,Department of Immigration service is waste of time,Facebook
P000055,Department of Census and Statistics,Gampaha,2025-03-19,Negative,-0.09,Department of Pensions service is unprofessional,Twitter
P000056,Registrar General Department,Kurunegala,2025-09-14,Neutral,0.898,Experience with Inland Revenue Department was okay,Instagram
P000057,Provincial Council Secretariat,Ampara,2025-08-25,Negative,-0.368,Provincial Council Secretariat service is frustrated,Instagram
P000058,Department of Census and Statistics,Kurunegala,2024-10-08,Negative,-0.778,Department of Census and Statistics service is terrible,Twitter
P000059,Provincial Council Secretariat,Polonnaruwa,2025-09-19,Negative,0.112,Department of Motor Traffic service is terrible,Instagram
P000060,Department of Pensions,Hambantota,2025-01-11,Neutral,-0.001,Experience with Department of Education was typical,Twitter
P000061,Department of Health Services,Vavuniya,2024-12-13,Negative,-0.612,Department of Education service is frustrated,Facebook
P000062,Inland Revenue Department,Matara,2025-04-03,Neutral,-0.532,Experience with Department of Pensions was standard,Facebook
P000063,Inland Revenue Department,Galle,2025-02-22,Negative,0.905,Pradeshiya Sabha service is frustrated,Instagram
P000064,Department of Health Services,Nuwara Eliya,2024-09-30,Neutral,0.004,Experience with Department of Immigration was average,Instagram
P000065,Inland Revenue Department,Ampara,2025-06-19,Neutral,-0.42,Experience with Department of Census and Statistics was okay,Instagram
P000066,Department of Census and Statistics,Gampaha,2025-04-25,Neutral,-0.354,Experience with Department of Education was average,Twitter
P000067,Municipal Council,Colombo,2025-04-09,Positive,-0.495,Service at Department of Pensions was excellent,Twitter
P000068,Municipal Council,Puttalam,2025-01-18,Neutral,-0.146,Experience with Department of Motor Traffic was typical,Instagram
P000069,Department of Education,Matara,2025-01-13,Positive,0.953,Service at Department of Census and Statistics was satisfied,Facebook
P000070,Divisional Secretariat,Kandy,2025-04-10,Negative,0.213,Divisional Secretariat service is frustrated,Twitter
P000071,Department of Health Services,Mullaitivu,2025-05-24,Negative,-0.27,Department of Pensions service is waste of time,Instagram
P000072,Provincial Council Secretariat,Batticaloa,2025-03-24,Negative,0.612,Provincial Council Secretariat service is frustrated,Instagram
P000073,Department of Census and Statistics,Batticaloa,2024-10-19,Neutral,-0.767,Experience with Municipal Council was normal,Twitter
P000074,Department of Pensions,Hambantota,2025-05-13,Neutral,0.916,Experience with Divisional Secretariat was typical,Instagram
P000075,Inland Revenue Department,Puttalam,2025-02-09,Negative,-0.36,Department of Health Services service is terrible,Facebook
P000076,Department of Pensions,Matara,2025-01-15,Negative,-0.123,Department of Education service is waste of time,Twitter
P000077,Provincial Council Secretariat,Batticaloa,2025-05-02,Positive,-0.111,Service at Inland Revenue Department was satisfied,Facebook
P000078,Provincial Council Secretariat,Kegalle,2025-08-09,Neutral,0.126,Experience with Registrar General Department was typical,Instagram
P000079,Municipal Council,Kurunegala,2024-11-20,Negative,0.697,Department of Census and Statistics service is waste of time,Twitter
P000080,Municipal Council,Kegalle,2025-08-30,Positive,-0.943,Service at Department of Immigration was satisfied,Twitter
P000081,Department of Census and Statistics,Ratnapura,2025-04-26,Negative,-0.773,Department of Motor Traffic service is corrupt,Twitter
P000082,Department of Motor Traffic,Kilinochhi,2025-04-27,Negative,0.459,Provincial Council Secretariat service is corrupt,Twitter
P000083,Department of Pensions,Mullaitivu,2025-06-17,Negative,-0.749,Department of Pensions service is corrupt,Instagram
P000084,Inland Revenue Department,Anuradhapura,2025-07-13,Neutral,-0.531,Experience with Department of Education was okay,Twitter
P000085,Inland Revenue Department,Mannar,2025-05-21,Neutral,0.755,Experience with Department of Health Services was normal,Twitter
P000086,Department of Census and Statistics,Puttalam,2025-01-21,Neutral,0.341,Experience with Department of Census and Statistics was typical,Twitter
P000087,Pradeshiya Sabha,Monaragala,2025-06-16,Negative,-0.76,Department of Immigration service is frustrated,Facebook
P000088,Department of Education,Kegalle,2024-12-07,Neutral,0.258,Experience with Provincial Council Secretariat was standard,Instagram
P000089,Pradeshiya Sabha,Ampara,2025-07-07,Negative,0.968,Municipal Council service is frustrated,Facebook
P000090,Divisional Secretariat,Ampara,2025-08-26,Neutral,-0.089,Experience with Department of Health Services was average,Instagram
P000091,Department of Health Services,Vavuniya,2025-05-16,Negative,-0.176,Provincial Council Secretariat service is unprofessional,Instagram
P000092,Department of Census and Statistics,Kilinochhi,2025-01-05,Negative,0.952,Divisional Secretariat service is waste of time,Twitter
P000093,Municipal Council,Gampaha,2025-03-17,Negative,-0.113,Department of Pensions service is corrupt,Twitter
P000094,Municipal Council,Kalutara,2025-09-06,Negative,-0.966,Department of Immigration service is frustrated,Facebook
P000095,Department of Immigration,Vavuniya,2024-10-01,Negative,-0.289,Pradeshiya Sabha service is slow,Facebook
P000096,Inland Revenue Department,Colombo,2025-03-06,Negative,-0.335,Department of Census and Statistics service is corrupt,Facebook
P000097,Department of Education,Kandy,2025-02-14,Negative,-0.865,Pradeshiya Sabha service is corrupt,Facebook
P000098,Department of Immigration,Hambantota,2025-02-05,Negative,0.603,Divisional Secretariat service is frustrated,Facebook
P000099,Department of Education,Badulla,2024-12-10,Negative,-0.931,Pradeshiya Sabha service is frustrated,Instagram
P000100,Department of Census and Statistics,Monaragala,2025-01-09,Negative,-0.369,Department of Pensions service is terrible,Twitter
P000101,Pradeshiya Sabha,Vavuniya,2025-06-11,Negative,-0.323,Department of Motor Traffic service is corrupt,Instagram
P000102,Divisional Secretariat,Mannar,2025-05-31,Negative,-0.934,Department of Health Services service is frustrated,Facebook
P000103,Inland Revenue Department,Gampaha,2025-08-08,Neutral,-0.183,Experience with Department of Motor Traffic was normal,Facebook
P000104,Registrar General Department,Kilinochhi,2024-12-20,Negative,-0.224,Registrar General Department service is slow,Twitter
P000105,Provincial Council Secretariat,Kilinochhi,2025-01-15,Negative,-0.551,Department of Motor Traffic service is slow,Instagram
P000106,Department of Pensions,Ratnapura,2025-07-24,Neutral,0.147,Experience with Provincial Council Secretariat was average,Facebook
P000107,Inland Revenue Department,Colombo,2025-01-17,Positive,0.742,Service at Department of Education was excellent,Facebook
P000108,Department of Census and Statistics,Trincomalee,2024-12-23,Negative,-0.568,Divisional Secretariat service is terrible,Facebook
P000109,Department of Health Services,Kegalle,2025-06-07,Negative,0.867,Municipal Council service is frustrated,Instagram
P000110,Inland Revenue Department,Kurunegala,2025-06-29,Neutral,-0.211,Experience with Department of Health Services was standard,Facebook
P000111,Department of Education,Mannar,2025-01-19,Negative,0.991,Department of Motor Traffic service is waste of time,Facebook
P000112,Department of Pensions,Kandy,2025-04-05,Negative,0.622,Department of Education service is slow,Facebook
P000113,Municipal Council,Matale,2025-01-16,Neutral,-0.292,Experience with Municipal Council was standard,Twitter
P000114,Pradeshiya Sabha,Kurunegala,2024-10-02,Negative,0.302,Department of Immigration service is corrupt,Instagram
P000115,Provincial Council Secretariat,Kilinochhi,2024-11-02,Negative,0.612,Registrar General Department service is terrible,Instagram
P000116,Provincial Council Secretariat,Jaffna,2025-01-14,Negative,0.512,Inland Revenue Department service is corrupt,Facebook
P000117,Department of Immigration,Jaffna,2025-09-09,Negative,0.882,Department of Motor Traffic service is frustrated,Twitter
P000118,Department of Education,Ratnapura,2025-08-20,Neutral,0.9,Experience with Registrar General Department was normal,Facebook
P000119,Department of Motor Traffic,Trincomalee,2025-03-09,Negative,0.342,Registrar General Department service is waste of time,Facebook
P000120,Municipal Council,Mannar,2025-03-28,Neutral,0.259,Experience with Registrar General Department was okay,Facebook
P000121,Pradeshiya Sabha,Hambantota,2025-09-11,Positive,-0.119,Service at Municipal Council was helpful,Instagram
P000122,Department of Census and Statistics,Kurunegala,2025-04-13,Negative,-0.398,Department of Motor Traffic service is terrible,Instagram
P000123,Department of Education,Colombo,2024-11-03,Negative,-0.188,Department of Immigration service is slow,Instagram
P000124,Department of Pensions,Anuradhapura,2025-03-07,Negative,0.579,Department of Motor Traffic service is unprofessional,Instagram
P000125,Pradeshiya Sabha,Monaragala,2025-03-25,Negative,0.705,Department of Health Services service is unprofessional,Instagram
P000126,Department of Health Services,Galle,2024-10-19,Neutral,0.125,Experience with Department of Motor Traffic was average,Facebook
P000127,Department of Census and Statistics,Kilinochhi,2025-04-17,Negative,0.542,Department of Immigration service is slow,Instagram
P000128,Inland Revenue Department,Mannar,2025-05-29,Positive,-0.871,Service at Department of Motor Traffic was satisfied,Facebook
P000129,Department of Pensions,Polonnaruwa,2025-05-09,Neutral,0.272,Experience with Municipal Council was average,Instagram
P000130,Pradeshiya Sabha,Matara,2025-02-26,Negative,0.342,Pradeshiya Sabha service is waste of time,Twitter
P000131,Department of Census and Statistics,Galle,2025-05-09,Neutral,0.183,Experience with Pradeshiya Sabha was okay,Instagram
P000132,Provincial Council Secretariat,Ratnapura,2024-12-12,Negative,-0.166,Department of Pensions service is unprofessional,Instagram
P000133,Department of Motor Traffic,Badulla,2025-04-18,Positive,0.151,Service at Department of Census and Statistics was excellent,Twitter
P000134,Provincial Council Secretariat,Batticaloa,2024-11-27,Neutral,-0.578,Experience with Department of Motor Traffic was typical,Facebook
P000135,Department of Health Services,Mullaitivu,2025-07-22,Neutral,0.918,Experience with Divisional Secretariat was typical,Instagram
P000136,Provincial Council Secretariat,Jaffna,2024-11-03,Positive,-0.241,Service at Department of Motor Traffic was fast,Twitter
P000137,Department of Motor Traffic,Kandy,2025-03-17,Negative,-0.238,Provincial Council Secretariat service is terrible,Facebook
P000138,Department of Census and Statistics,Batticaloa,2025-07-03,Negative,-0.537,Department of Health Services service is waste of time,Twitter
P000139,Department of Immigration,Batticaloa,2025-07-26,Neutral,-0.195,Experience with Inland Revenue Department was standard,Instagram
P000140,Department of Census and Statistics,Ampara,2024-11-24,Negative,0.584,Department of Immigration service is slow,Instagram
P000141,Department of Census and Statistics,Gampaha,2025-04-29,Negative,0.111,Department of Pensions service is waste of time,Instagram
P000142,Registrar General Department,Batticaloa,2025-01-31,Negative,0.807,Provincial Council Secretariat service is frustrated,Instagram
P000143,Department of Health Services,Gampaha,2025-08-02,Negative,0.788,Department of Census and Statistics service is waste of time,Twitter
P000144,Department of Education,Kalutara,2025-05-13,Negative,0.793,Registrar General Department service is corrupt,Facebook
P000145,Department of Census and Statistics,Nuwara Eliya,2025-07-28,Positive,-0.14,Service at Department of Pensions was helpful,Facebook
P000146,Department of Immigration,Anuradhapura,2024-10-30,Neutral,0.806,Experience with Municipal Council was typical,Facebook
P000147,Registrar General Department,Badulla,2025-05-11,Neutral,0.346,Experience with Department of Pensions was normal,Instagram
P000148,Provincial Council Secretariat,Gampaha,2025-01-25,Neutral,-0.491,Experience with Registrar General Department was average,Instagram
P000149,Divisional Secretariat,Galle,2025-09-09,Negative,0.621,Department of Health Services service is slow,Twitter
P000150,Pradeshiya Sabha,Nuwara Eliya,2025-04-06,Negative,-0.375,Divisional Secretariat service is waste of time,Twitter
P000151,Pradeshiya Sabha,Ampara,2025-09-18,Neutral,-0.437,Experience with Municipal Council was standard,Instagram
P000152,Department of Motor Traffic,Nuwara Eliya,2025-05-04,Positive,-0.129,Service at Department of Health Services was helpful,Twitter
P000153,Department of Census and Statistics,Mannar,2025-07-02,Positive,-0.317,Service at Inland Revenue Department was helpful,Twitter
P000154,Registrar General Department,Galle,2025-07-03,Negative,0.067,Department of Immigration service is waste of time,Twitter
P000155,Department of Motor Traffic,Puttalam,2025-08-13,Neutral,0.334,Experience with Department of Census and Statistics was normal,Facebook
P000156,Department of Education,Kilinochhi,2025-07-09,Neutral,-0.987,Experience with Municipal Council was normal,Facebook
P000157,Department of Pensions,Polonnaruwa,2025-01-01,Neutral,0.754,Experience with Provincial Council Secretariat was okay,Twitter
P000158,Registrar General Department,Matale,2025-01-21,Negative,-0.217,Department of Education service is slow,Twitter
P000159,Municipal Council,Anuradhapura,2025-06-17,Negative,-0.576,Pradeshiya Sabha service is unprofessional,Instagram
P000160,Department of Health Services,Ampara,2025-07-04,Neutral,-0.683,Experience with Pradeshiya Sabha was average,Twitter
P000161,Department of Education,Ratnapura,2025-02-02,Negative,-0.141,Department of Health Services service is slow,Facebook
P000162,Provincial Council Secretariat,Kandy,2025-01-03,Negative,0.161,Divisional Secretariat service is corrupt,Facebook
P000163,Pradeshiya Sabha,Batticaloa,2024-10-27,Neutral,0.505,Experience with Provincial Council Secretariat was standard,Instagram
P000164,Divisional Secretariat,Anuradhapura,2025-05-05,Negative,-0.612,Divisional Secretariat service is corrupt,Twitter
P000165,Department of Education,Nuwara Eliya,2024-10-28,Negative,0.976,Department of Education service is corrupt,Instagram
P000166,Department of Pensions,Monaragala,2025-01-04,Neutral,0.63,Experience with Department of Health Services was standard,Twitter
P000167,Municipal Council,Mullaitivu,2025-02-24,Neutral,0.795,Experience with Department of Census and Statistics was average,Instagram
P000168,Registrar General Department,Vavuniya,2025-06-14,Negative,-0.753,Department of Immigration service is terrible,Instagram
P000169,Department of Education,Anuradhapura,2025-01-15,Neutral,-0.97,Experience with Inland Revenue Department was okay,Twitter
P000170,Provincial Council Secretariat,Matara,2024-10-06,Negative,-0.621,Inland Revenue Department service is frustrated,Twitter
P000171,Provincial Council Secretariat,Colombo,2025-08-01,Negative,-0.789,Municipal Council service is unprofessional,Facebook
P000172,Department of Health Services,Matale,2025-05-15,Negative,0.075,Department of Motor Traffic service is slow,Twitter
P000173,Pradeshiya Sabha,Ratnapura,2024-12-23,Neutral,0.829,Experience with Inland Revenue Department was typical,Instagram
P000174,Department of Census and Statistics,Hambantota,2025-07-25,Neutral,0.55,Experience with Inland Revenue Department was okay,Instagram
P000175,Registrar General Department,Mannar,2024-12-15,Neutral,-0.031,Experience with Divisional Secretariat was standard,Facebook
